Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Airlift,https://www.imdb.com/title/tt4387040/,Drama+History,2016-01-22,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",128.1,Raja Menon,Akshay Kumar+Nimrat Kaur+Kumud Mishra,,PT2H10M,7.9,176.78041470311027
Ghayal Once Again,https://www.imdb.com/title/tt4683366/,Action+Drama+Thriller,2016-02-05,"When a video of his mentor's murder surfaces, an investigative journalist takes action to find those responsible.",35.7,Sunny Deol,Sunny Deol+Soha Ali Khan+Shivam Patil,,PT2H7M,6.2,49.26667295004713
Sanam Teri Kasam,https://www.imdb.com/title/tt5255710/,Action+Drama+Thriller,2016-02-05,"After being disowned by her family, an awkward librarian relies on the help of her brooding neighbour.",2.3,Radhika Rao,Harshvardhan Rane+Mawra Hocane+Vijay Raaz,,PT2H34M,7.6,3.174043355325165
Neerja,https://www.imdb.com/title/tt5286444/,Biography+Drama+Thriller,2016-02-19,"The story of courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on Pan Am Flight 73 in 1986 when it was hijacked by a terrorist organization.",75.61,Ram Madhvani,Sonam Kapoor+Shabana Azmi+Yogendra Tikku,,PT2H2M,7.6,104.34322525918945
Aligarh,https://www.imdb.com/title/tt5121000/,Biography+Crime+Drama,2016-02-26,"A gay, linguistic professor living in a small orthodox city must deal with the aftermath of a sting operation that puts his sexual orientation in front of the entire nation.",2.5,Hansal Mehta,Manoj Bajpayee+Rajkummar Rao+Ashish Vidyarthi,,PT1H54M,7.8,3.45004712535344
Jai Gangaajal,https://www.imdb.com/title/tt4979082/,Action+Crime+Drama,2016-03-04,A newly appointed Senior Inspector finds herself against very powerful goons and having people from her own department against her.,32.63,,,,,5.8,45.03001508011311
Miss Teacher,https://www.imdb.com/title/tt5686868/,Action,2016-03-18,"Rose Dey is the new teacher at the university. She is very attractive and is a nymphomaniac. At the university, Rose meets Tanvesh and an affair begins.",0.32,Jayprakkash Shaw,Kamalika Chanda+Rahul Sharma+Resham Thakkar,Gulfam Khan,PT2H13M,3.2,0.4416060320452404
Kapoor & Sons,https://www.imdb.com/title/tt4900716/,Comedy+Crime+Drama,2016-03-18,The story about two brothers who visit their dysfunctional family for their grandfather's birthday party.,73.29,Shakun Batra,Rishi Kapoor+Rajat Kapoor+Ratna Pathak Shah,Shakun Batra+Ayesha DeVitre+Spandan Mishra,PT2H12M,7.7,101.14158152686147
Rocky Handsome,https://www.imdb.com/title/tt3410408/,Action+Crime+Drama,2016-03-25,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,25.155,Nishikant Kamat,John Abraham+Nishikant Kamat+Sharad Kelkar,,,6.8,34.71437417530632
Love Games,https://www.imdb.com/title/tt5518128/,Crime+Thriller,2016-04-08,A pair of nymphomaniacs compete in seducing couples to sleep with them.,4.04,Vikram Bhatt,Patralekhaa Paul+Tara-Alisha Berry+Gaurav Arora,Vikram Bhatt,PT1H54M,4.3,5.57527615457116
Fan,https://www.imdb.com/title/tt3495026/,Action+Drama+Thriller,2016-04-15,Gaurav's world revolves around the superstar Aryan Khanna. What happens when his passion turns into a dangerous obsession that crosses the fine line?,84.1,Maneesh Sharma,Shah Rukh Khan+Shriya Pilgaonkar+Sayani Gupta,,PT2H22M,6.8,116.05958529688972
The New Classmate,https://www.imdb.com/title/tt5005684/,Drama+Family,2016-04-22,A story about a single woman (a Mom) and dreams on her Daughter.,,Ashwiny Iyer Tiwari,Swara Bhasker+Riya Shukla+Ratna Pathak Shah,,PT1H40M,8.2,
Laal Rang,https://www.imdb.com/title/tt5600714/,Comedy+Crime+Drama,2016-04-22,The friendship of two men is tested when things go wrong in their blood theft business.,1.66,Syed Ahmad Afzal,Randeep Hooda+Akshay Oberoi+Rajneesh Duggal,Syed Ahmad Afzal+Pankaj Matta,PT2H27M,7.8,2.290831291234684
Baaghi,https://www.imdb.com/title/tt4864932/,Action+Drama+Romance,2016-04-29,A martial artist faces his biggest test when he has to travel to Bangkok to rescue the woman he loves from the clutches of his romantic rival.,4.0,Sabbir Khan,Tiger Shroff+Shraddha Kapoor+Sudheer Babu Posani,,PT2H13M,5.3,5.520075400565505
1920 London,https://www.imdb.com/title/tt5638500/,Horror+Mystery,2016-05-06,"After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.",15.45,Tinu Suresh Desai,Sharman Joshi+Meera Chopra+Vishal Karwal,,PT2H,4.2,21.32129123468426
One Night Stand,https://www.imdb.com/title/tt5358948/,Drama+Romance,2016-05-06,The story is about Urvil Raisingh and Celina who meet at an event and a memorable night later. Returning back home they continue with their lives. The memories of Celina haunt Urvil. What happens next forms the crux of the unfolding drama. One Night Stand explores the hypocritical world we live in. What is it that Urvil wants?,3.05,Jasmine D&apos;Souza,Tanuj Virwani+Sunny Leone+Narendra Jetley,,PT1H37M,3.2,4.209057492931197
Buddha in a Traffic Jam,https://www.imdb.com/title/tt1890363/,Crime+Thriller,2016-05-13,"Vikram, a carefree management student, finds himself entangled in web of conspiracy, lies, and deceit when he launches a successful social media campaign to highlight the plight of the poor in India.",0.3,Vivek Agnihotri,Anupam Kher+Anchal Dwivedi+Mahie Gill,,PT1H54M,7.2,0.4140056550424128
Chudail Story,https://www.imdb.com/title/tt5914630/,Horror+Thriller,2016-05-13,A seductive witch kills men by casting a spell on them. A bunch of friends are trapped in a haunted house with mysterious lady. Is she the Chudail?,0.18,Surya Lakkoju,Preeti Soni+Amal Sherawat+Nidhi Nautiyal,Rajneesh Kaushal+Surya Lakkoju,PT1H40M,2.4,0.2484033930254477
Azhar,https://www.imdb.com/title/tt4906984/,Biography+Drama+Sport,2016-05-13,"Biographical sports drama based on the life of former Indian international cricketer, Mohammad Azharuddin",33.03,Anthony D&apos;Souza,Emraan Hashmi+Nargis Fakhri+Prachi Desai,,PT2H10M,5.7,45.58202262016965
Satyavati,https://www.imdb.com/title/tt5338620/,Crime,2016-05-18,"""When you are shunned and looked down upon for non-conformance, there is nowhere to go. When your protector has become the threat, there is nowhere to go.When the crime gets legitimized in the garb of tradition, there is nowhere to go"" Satyavati- and we call this love is a story that takes place in today's times where tenderness & innocence come under attack and all that remain is a scar. And nowhere to go.",,Deepthi Tadnaki,Iti Acharya+Shwetha Gupta+Anmol Jai,,PT2H,7.8,
Sarbjit,https://www.imdb.com/title/tt5120640/,Biography+Drama,2016-05-20,"Biopic of Sarabjit Singh, a farmer residing at Bhikiwind, Punjab, near the Indo-Pak border, crossed the border after having a couple of drinks. However, he was mistaken to be an Indian spy and was sentenced with capital punishment.",27.38,Omung Kumar,Randeep Hooda+Aishwarya Rai Bachchan+Richa Chadha,,PT2H11M,7.3,37.784916116870875
Phobia,https://www.imdb.com/title/tt5743656/,Drama+Mystery+Thriller,2016-05-27,"An agoraphobic young woman, traumatized by past events, finds herself trapped and terrorized in her own home.",2.52,Pavan Kirpalani,Radhika Apte+Amrita Bagchi+Nivedita Bhattacharya,Pavan Kirpalani+Arun Sukumar+Pooja Ladha Surti,PT1H52M,6.8,3.477647502356268
Housefull 3,https://www.imdb.com/title/tt4559046/,Comedy,2016-06-03,"A father doesn't want his three daughters to get married. Now, it's up to three men to try to and convince the father that they're a good fit for his daughters.",109.14,Sajid,Akshay Kumar+Abhishek Bachchan+Riteish Deshmukh,,PT2H20M,4.9,150.6152573044298
Te3n,https://www.imdb.com/title/tt4814290/,Crime+Drama+Mystery,2016-06-10,"A grandfather, a priest and a police officer investigate the case of a kidnapped child.",19.08,Ribhu Dasgupta,Amitabh Bachchan+Nawazuddin Siddiqui+Vidya Balan,,PT2H16M,7.2,26.330759660697456
Do Lafzon Ki Kahani,https://www.imdb.com/title/tt4857886/,Action+Drama+Romance,2016-06-10,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,5.54,Deepak Tijori,Kajal Aggarwal+Anil George+Randeep Hooda,,PT2H8M,6.5,7.6453044297832236
Margarita with a Straw,https://www.imdb.com/title/tt2929690/,Crime+Drama,2016-06-14,"A rebellious young woman with cerebral palsy leaves her home in India to study in New York, unexpectedly falls in love, and embarks on an exhilarating journey of self-discovery.",4.53,Shonali Bose,Kalki Koechlin+Revathi+Sayani Gupta,,PT1H40M,7.2,6.2514853911404344
Rainbow,https://www.imdb.com/title/tt4088588/,Comedy+Drama,2016-06-17,"Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.",,Nagesh Kukunoor,Hetal Gada+Krrish Chhabria+Vipin Sharma,,PT1H46M,7.8,
Parched,https://www.imdb.com/title/tt3043252/,Drama,2016-06-17,"In the arid landscape of Rajasthan, four women navigate their way through personal and cultural difficulties.",1.32,Leena Yadav,Tannishtha Chatterjee+Radhika Apte+Lehar Khan,,PT1H56M,7.5,1.8216248821866166
Udta Punjab,https://www.imdb.com/title/tt4434004/,Action+Drama,2016-06-17,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,60.33,Abhishek Chaubey,Shahid Kapoor+Alia Bhatt+Kareena Kapoor,,PT2H28M,7.7,83.25653722902922
A Scandall,https://www.imdb.com/title/tt5780570/,Thriller,2016-06-24,"A film school graduate is interested in making a movie about his girlfriend's uncle, who claims that he can see his long-dead daughter.",0.12,Ishaan Trivedi,Johnny Baweja+Reeth Mazumder-Roberts+Manav Kaul,Ishaan Trivedi,PT1H52M,3.1,0.16560226201696512
Psycho Raman,https://www.imdb.com/title/tt5662932/,Crime+Drama+Thriller,2016-06-24,"Ramanna, a maniac murderer, finds a soulmate in Raghavan, a policeman, who inspects his murder cases. He tries to make Raghavan realize how they both are similar.",,Anurag Kashyap,Nawazuddin Siddiqui+Vicky Kaushal+Sobhita Dhulipala,Vasan Bala+Anurag Kashyap,PT2H13M,7.3,
Sultan,https://www.imdb.com/title/tt4832640/,Action+Drama+Thriller,2016-07-06,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",300.45,Ali Abbas Zafar,Salman Khan+Anushka Sharma+Randeep Hooda,Ali Abbas Zafar,PT2H50M,7.1,414.62666352497644
Great Grand Masti,https://www.imdb.com/title/tt4675030/,Comedy+Drama+Fantasy,2016-07-15,"Amar, Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of, but she slowly turns into their worst nightmare!",13.59,Indra Kumar,Riteish Deshmukh+Vivek Oberoi+Aftab Shivdasani,,PT2H14M,3.7,18.754456173421303
Madaari,https://www.imdb.com/title/tt5713232/,Drama+Thriller,2016-07-22,"When Nirmal loses his family in a disaster caused by government corruption, he embarks on a journey seeking accountability and revenge.",18.07,Nishikant Kamat,Irrfan Khan+Jimmy Shergill+Vishesh Bansal,,PT2H13M,7.6,24.936940622054667
Dishoom,https://www.imdb.com/title/tt3679060/,Action+Adventure+Comedy,2016-07-29,"When India's top batsman goes missing in the Middle East, two mismatched cops must team up for a 36-hour manhunt before the cricket final.",,Rohit Dhawan,John Abraham+Varun Dhawan+Jacqueline Fernandez,,PT2H4M,5.2,
Fever,https://www.imdb.com/title/tt4022278/,Crime+Mystery,2016-08-05,"An assassin loses his memory in an accident. He wakes up knowing only his name, and a subconscious memory of a crime he has committed.",0.81,Rajeev Jhaveri,Rajeev Khandelwal+Gauahar Khan+Gemma Atkinson,,PT1H47M,4.7,1.1178152686145149
Rustom,https://www.imdb.com/title/tt5165344/,Crime+Drama+Thriller,2016-08-12,"A naval officer returns home to find out about his wife's affair. Soon, he surrenders after murdering the lover but as the case unfolds, it starts to reveal his hidden intention.",,Tinu Suresh Desai,Akshay Kumar+Ileana D&apos;Cruz+Arjan Bajwa,,PT2H28M,7.0,
Mohenjo Daro,https://www.imdb.com/title/tt3859980/,Action+Drama+Thriller,2016-08-12,"In 2016 BC, a kind farmer leads an uprising in the city of Mohenjo Daro.",58.0,Ashutosh Gowariker,Hrithik Roshan+Pooja Hegde+Kabir Bedi,,PT2H35M,5.6,80.04109330819982
Happy Bhaag Jayegi,https://www.imdb.com/title/tt5472758/,Comedy+Romance,2016-08-19,"After fleeing an arranged marriage, a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend.",,Mudassar Aziz,Diana Penty+Abhay Deol+Jimmy Shergill,,PT2H6M,6.5,
A Flying Jatt,https://www.imdb.com/title/tt5235880/,Action+Adventure+Comedy,2016-08-25,"Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka, who he must vanquish to save the day.",38.61,Remo D&apos;Souza,Tiger Shroff+Jacqueline Fernandez+Nathan Jones,Remo D&apos;Souza+Tushar Hiranandani+Aakash Kaushik,PT2H31M,3.1,53.28252780395853
Akira,https://www.imdb.com/title/tt5465370/,Action+Thriller,2016-09-02,"A gripping action thriller about a college girl Akira, who has grown up with the ideals of being self reliant. Her life spirals out of control when she becomes unwittingly involved in a crime involving four corrupt police officers.",28.73,A.R. Murugadoss,Sonakshi Sinha+Anurag Kashyap+Konkona Sen Sharma,,PT2H17M,5.9,39.64794156456174
Baar Baar Dekho,https://www.imdb.com/title/tt5197544/,Drama+Romance+Sci-Fi,2016-09-09,The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards.,31.24,Nitya Mehra,Sidharth Malhotra+Katrina Kaif+Sayani Gupta,,PT2H21M,5.4,43.11178887841659
Freaky Ali,https://www.imdb.com/title/tt5943306/,Comedy+Sport,2016-09-09,A debt collector becomes a golfing sensation.,14.67,Sohail Khan,Nawazuddin Siddiqui+Arbaaz Khan+Amy Jackson,Sohail Khan+Raaj Shaandilyaa+Atul Kumar,PT2H,5.0,20.24487653157399
Pink,https://www.imdb.com/title/tt5571734/,Action+Drama+Thriller,2016-09-16,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",65.39,Aniruddha Roy Chowdhury,Amitabh Bachchan+Taapsee Pannu+Kirti Kulhari,,PT2H16M,8.0,90.23943261074459
Raaz Reboot,https://www.imdb.com/title/tt5639388/,Horror+Mystery+Thriller,2016-09-16,"The fourth installment of a horror series that explores secrets, mysteries and human frailties.",30.29,Vikram Bhatt,Emraan Hashmi+Kriti Kharbanda+Suzanna Mukherjee,,PT2H8M,4.4,41.80077097078228
M.S. Dhoni: The Untold Story,https://www.imdb.com/title/tt4169250/,Biography+Drama+Sport,2016-09-30,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,133.04,Neeraj Pandey,Sushant Singh Rajput+Kiara Advani+Disha Patani,,PT3H4M,8.0,183.59770782280867
Tutak Tutak Tutiya,https://www.imdb.com/title/tt6041458/,Comedy+Horror,2016-10-07,"Krishna unwillingly marries a village girl and moves to a new house. After seeing an abrupt and drastic change in her personality, he realizes that a spirit has possessed her and tries to save her.",4.51,A.L. Vijay,Prabhu Deva+Sonu Sood+Tamannaah Bhatia,,PT2H18M,5.4,6.223885014137606
Mirza's Lady,https://www.imdb.com/title/tt4940456/,Action+Drama+Fantasy,2016-10-07,"A horse groom reconnects with his childhood love, but she is engaged to marry the local prince.",,Rakeysh Omprakash Mehra,Harshvardhan Kapoor+Saiyami Kher+Art Malik,,PT2H9M,4.6,
Ae Dil Hai Mushkil,https://www.imdb.com/title/tt4559006/,Drama+Musical+Romance,2016-10-28,"A passionate singer falls deeply in love with Alizeh, who only sees him as a friend. When she marries another man, he finds solace with Saba, but his heart remains torn between both women.",112.48,Karan Johar,Ranbir Kapoor+Aishwarya Rai Bachchan+Anushka Sharma,,PT2H38M,5.9,155.224520263902
Shivaay,https://www.imdb.com/title/tt3771536/,Action+Crime+Drama,2016-10-28,A skilled mountaineer races against time to rescue his mute daughter from the clutches of human traffickers in Bulgaria.,100.33,Chandan Arora,Ajay Devgn+Abigail Eames+Erika Kaar,Sandeep Shrivastava,PT2H33M,6.1,138.45729123468428
Tum Bin II,https://www.imdb.com/title/tt5717110/,Drama+Romance,2016-11-18,"After a skiing accident, Taran thinks her fiance is dead and grieves for months. Soon, Shekhar enters her life, helps her rediscover happiness, and falls in love with her.",,Md. Shahnause,Neha Sharma+Aditya Seal+Aashim Gulati,,PT2H27M,4.8,
